I - 2023-03-21 17:24:10,335 - [      main] -   MemoryReportStream - 4c8920723d13 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld4 - Run: 2 - Query Evaluation Time: 326 - Results: 50
I - 2023-03-21 17:24:11,423 - [      main] -   MemoryReportStream - eae6b18f2f1f - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld5 - Run: 2 - Query Evaluation Time: 87 - Results: 28
I - 2023-03-21 17:24:12,510 - [      main] -   MemoryReportStream - 84c590942bbf - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld6 - Run: 2 - Query Evaluation Time: 87 - Results: 39
I - 2023-03-21 17:24:13,822 - [      main] -   MemoryReportStream - b11d49696d6d - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld7 - Run: 2 - Query Evaluation Time: 311 - Results: 1216
I - 2023-03-21 17:24:15,107 - [      main] -   MemoryReportStream - 7e5ab8064387 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld8 - Run: 2 - Query Evaluation Time: 285 - Results: 22
I - 2023-03-21 17:24:16,259 - [      main] -   MemoryReportStream - ad523170b506 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls1 - Run: 2 - Query Evaluation Time: 152 - Results: 1159
I - 2023-03-21 17:24:17,381 - [      main] -   MemoryReportStream - a13cfbbb8ff1 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls2 - Run: 2 - Query Evaluation Time: 121 - Results: 333
I - 2023-03-21 17:24:21,480 - [      main] -   MemoryReportStream - fe2c866c60e2 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls3 - Run: 2 - Query Evaluation Time: 3099 - Results: 9054
I - 2023-03-21 17:24:22,558 - [      main] -   MemoryReportStream - fbd9296ace84 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls4 - Run: 2 - Query Evaluation Time: 77 - Results: 3
I - 2023-03-21 17:24:25,354 - [      main] -   MemoryReportStream - 610412476d86 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls5 - Run: 2 - Query Evaluation Time: 1796 - Results: 393
I - 2023-03-21 17:24:26,456 - [      main] -   MemoryReportStream - 4d99a4fbc0ba - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls6 - Run: 2 - Query Evaluation Time: 101 - Results: 28
I - 2023-03-21 17:24:28,114 - [      main] -   MemoryReportStream - 6c79fd7cc3a0 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ls7 - Run: 2 - Query Evaluation Time: 657 - Results: 1620
I - 2023-03-21 17:24:29,280 - [      main] -   MemoryReportStream - 1a5f26c0eb28 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd1 - Run: 3 - Query Evaluation Time: 166 - Results: 90
I - 2023-03-21 17:24:30,338 - [      main] -   MemoryReportStream - 2c718eb2cbd4 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd2 - Run: 3 - Query Evaluation Time: 58 - Results: 1
I - 2023-03-21 17:24:31,421 - [      main] -   MemoryReportStream - f4593aca03e4 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd3 - Run: 3 - Query Evaluation Time: 82 - Results: 2
I - 2023-03-21 17:24:32,523 - [      main] -   MemoryReportStream - 7f6d6c371cfc - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd4 - Run: 3 - Query Evaluation Time: 102 - Results: 1
I - 2023-03-21 17:24:33,597 - [      main] -   MemoryReportStream - 1c437d7e82e5 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd5 - Run: 3 - Query Evaluation Time: 73 - Results: 2
I - 2023-03-21 17:24:35,948 - [      main] -   MemoryReportStream - d35731068869 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd6 - Run: 3 - Query Evaluation Time: 1351 - Results: 11
I - 2023-03-21 17:24:37,555 - [      main] -   MemoryReportStream - 1e343edc6f39 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: cd7 - Run: 3 - Query Evaluation Time: 607 - Results: 2
I - 2023-03-21 17:24:39,099 - [      main] -   MemoryReportStream - 370f2c8124ae - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld1 - Run: 3 - Query Evaluation Time: 544 - Results: 309
I - 2023-03-21 17:24:40,205 - [      main] -   MemoryReportStream - 9f604bc1cad9 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld10 - Run: 3 - Query Evaluation Time: 106 - Results: 3
I - 2023-03-21 17:24:42,401 - [      main] -   MemoryReportStream - 8691ada55efa - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld11 - Run: 3 - Query Evaluation Time: 1196 - Results: 376
I - 2023-03-21 17:24:43,484 - [      main] -   MemoryReportStream - 9d7689f55ea2 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld2 - Run: 3 - Query Evaluation Time: 83 - Results: 185
I - 2023-03-21 17:24:45,472 - [      main] -   MemoryReportStream - b35dd90b1adc - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld3 - Run: 3 - Query Evaluation Time: 988 - Results: 162
I - 2023-03-21 17:24:46,781 - [      main] -   MemoryReportStream - 246e744f2ec4 - Experiment: het3nodelay-mincostgreedy-exp - Date: 2023-03-21 17:23:13 - Query: ld4 - Run: 3 - Query Evaluation Time: 308 - Results: 50
