I, 2023-03-21 17,23,53,79, [080-exec-5],           Controller, e4c589a98eb9, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd1, Run,2, Overall Query Processing Time,146, Query Planning Time,139, Compile Time,0, Execution time,7,overallNumberOfRequestsIssuedAtCache,8,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,5,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 17,23,54,140, [080-exec-6],           Controller, bcc0930d9e8f, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd2, Run,2, Overall Query Processing Time,44, Query Planning Time,34, Compile Time,0, Execution time,10,overallNumberOfRequestsIssuedAtCache,3,numberOfSPARQLRequestsIssuedAtCache,1,numberOfTPFRequestsIssuedAtCache,2,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 17,23,55,220, [080-exec-7],           Controller, abac57f35f39, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd3, Run,2, Overall Query Processing Time,61, Query Planning Time,34, Compile Time,0, Execution time,27,overallNumberOfRequestsIssuedAtCache,26,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,20,numberOfBRTPFRequestsIssuedAtCache,3
I, 2023-03-21 17,23,56,328, [080-exec-8],           Controller, be0a1f0f0b82, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd4, Run,2, Overall Query Processing Time,87, Query Planning Time,56, Compile Time,0, Execution time,31,overallNumberOfRequestsIssuedAtCache,37,numberOfSPARQLRequestsIssuedAtCache,4,numberOfTPFRequestsIssuedAtCache,28,numberOfBRTPFRequestsIssuedAtCache,5
I, 2023-03-21 17,23,57,396, [080-exec-9],           Controller, 9072ed6578dc, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd5, Run,2, Overall Query Processing Time,46, Query Planning Time,29, Compile Time,0, Execution time,17,overallNumberOfRequestsIssuedAtCache,18,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,12,numberOfBRTPFRequestsIssuedAtCache,3
I, 2023-03-21 17,23,59,564, [80-exec-10],           Controller, 4e615c5c063e, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd6, Run,2, Overall Query Processing Time,1149, Query Planning Time,51, Compile Time,1, Execution time,1097,overallNumberOfRequestsIssuedAtCache,2492,numberOfSPARQLRequestsIssuedAtCache,3,numberOfTPFRequestsIssuedAtCache,2448,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 17,24,1,131, [080-exec-1],           Controller, 7ba0106824bb, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, cd7, Run,2, Overall Query Processing Time,547, Query Planning Time,45, Compile Time,1, Execution time,501,overallNumberOfRequestsIssuedAtCache,1105,numberOfSPARQLRequestsIssuedAtCache,41,numberOfTPFRequestsIssuedAtCache,1023,numberOfBRTPFRequestsIssuedAtCache,41
I, 2023-03-21 17,24,2,692, [080-exec-2],           Controller, fca8b295ba78, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld1, Run,2, Overall Query Processing Time,537, Query Planning Time,50, Compile Time,0, Execution time,487,overallNumberOfRequestsIssuedAtCache,955,numberOfSPARQLRequestsIssuedAtCache,26,numberOfTPFRequestsIssuedAtCache,873,numberOfBRTPFRequestsIssuedAtCache,56
I, 2023-03-21 17,24,3,805, [080-exec-3],           Controller, 4505e0e60d56, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld10, Run,2, Overall Query Processing Time,87, Query Planning Time,39, Compile Time,0, Execution time,48,overallNumberOfRequestsIssuedAtCache,128,numberOfSPARQLRequestsIssuedAtCache,5,numberOfTPFRequestsIssuedAtCache,111,numberOfBRTPFRequestsIssuedAtCache,12
I, 2023-03-21 17,24,5,956, [080-exec-4],           Controller, e5b57f157349, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld11, Run,2, Overall Query Processing Time,1125, Query Planning Time,86, Compile Time,1, Execution time,1038,overallNumberOfRequestsIssuedAtCache,2417,numberOfSPARQLRequestsIssuedAtCache,78,numberOfTPFRequestsIssuedAtCache,2262,numberOfBRTPFRequestsIssuedAtCache,77
I, 2023-03-21 17,24,7,55, [080-exec-5],           Controller, 7d0f8c6f97a8, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld2, Run,2, Overall Query Processing Time,71, Query Planning Time,23, Compile Time,0, Execution time,48,overallNumberOfRequestsIssuedAtCache,64,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,64,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 17,24,8,998, [080-exec-6],           Controller, 20a95bbd1b70, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld3, Run,2, Overall Query Processing Time,922, Query Planning Time,86, Compile Time,0, Execution time,836,overallNumberOfRequestsIssuedAtCache,1926,numberOfSPARQLRequestsIssuedAtCache,49,numberOfTPFRequestsIssuedAtCache,1787,numberOfBRTPFRequestsIssuedAtCache,90
I, 2023-03-21 17,24,10,324, [080-exec-7],           Controller, 0cf8cdee6c0e, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld4, Run,2, Overall Query Processing Time,305, Query Planning Time,30, Compile Time,0, Execution time,275,overallNumberOfRequestsIssuedAtCache,465,numberOfSPARQLRequestsIssuedAtCache,0,numberOfTPFRequestsIssuedAtCache,465,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 17,24,11,419, [080-exec-8],           Controller, 9f10d32bfb10, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld5, Run,2, Overall Query Processing Time,71, Query Planning Time,35, Compile Time,0, Execution time,36,overallNumberOfRequestsIssuedAtCache,58,numberOfSPARQLRequestsIssuedAtCache,2,numberOfTPFRequestsIssuedAtCache,56,numberOfBRTPFRequestsIssuedAtCache,0
I, 2023-03-21 17,24,12,503, [080-exec-9],           Controller, 44820b7ddd3a, , Experiment, het3nodelay-mincostgreedy-exp, Date, 2023-03-21 17,23,13, Query, ld6, Run,2, Overall Query Processing Time,66, Query Planning Time,42, Compile Time,1, Execution time,23,overallNumberOfRequestsIssuedAtCache,32,numberOfSPARQLRequestsIssuedAtCache,4,numberOfTPFRequestsIssuedAtCache,24,numberOfBRTPFRequestsIssuedAtCache,4
